Czas; Temperatura
354; 20,0029
355; 19,9757
356; 20,0029
357; 19,9757
358; 20,0029
359; 19,9757
360; 20,0029
361; 19,9758
362; 20,003
363; 19,9758
364; 20,003
365; 19,9758
366; 20,003
367; 19,9758
368; 20,003
369; 19,9758
370; 20,003
371; 19,9758
372; 20,003
373; 19,9758
374; 20,003
375; 19,9759
376; 20,003
377; 19,9759
378; 20,0031
379; 19,9759
380; 20,0031
381; 19,9759
382; 20,0031
383; 19,9759
384; 20,0031
385; 19,9759
386; 20,0031
387; 19,9759
388; 20,0031
389; 19,9759
390; 20,0031
391; 19,976
392; 20,0032
393; 19,976
394; 20,0032
395; 19,976
396; 20,0032
397; 19,976
398; 20,0032
399; 19,976
400; 20,0032
401; 19,976
402; 20,0032
403; 19,976
404; 20,0032
405; 19,9761
406; 20,0032
407; 19,9761
408; 20,0033
409; 19,9761
410; 20,0033
411; 19,9761
412; 20,0033
413; 19,9761
414; 20,0033
415; 19,9761
416; 20,0033
417; 19,9761
418; 20,0033
419; 19,9761
420; 20,0033
421; 19,9762
422; 20,0034
423; 19,9762
424; 20,0034
425; 19,9762
426; 20,0034
427; 19,9762
428; 20,0034
429; 19,9762
430; 20,0034
431; 19,9762
432; 20,0034
433; 19,9762
434; 20,0034
435; 19,9763
436; 20,0034
437; 19,9763
438; 20,0035
439; 19,9763
440; 20,0035
441; 19,9763
442; 20,0035
443; 19,9763
444; 20,0035
445; 19,9763
446; 20,0035
447; 19,9763
448; 20,0035
449; 19,9763
450; 20,0035
451; 19,9764
452; 20,0036
453; 19,9764
454; 20,0036
455; 19,9764
456; 20,0036
457; 19,9764
458; 20,0036
459; 19,9764
460; 20,0036
461; 19,9764
462; 20,0036
463; 19,9764
464; 20,0036
465; 19,9765
466; 20,0036
467; 19,9765
468; 20,0037
469; 19,9765
470; 20,0037
471; 19,9765
472; 20,0037
473; 19,9765
474; 20,0037
475; 19,9765
476; 20,0037
477; 19,9765
478; 20,0037
479; 19,9765
480; 20,0037
481; 19,9766
482; 20,0038
483; 19,9766
484; 20,0038
485; 19,9766
486; 20,0038
487; 19,9766
488; 20,0038
489; 19,9766
490; 20,0038
491; 19,9766
492; 20,0038
493; 19,9766
494; 20,0038
495; 19,9767
496; 20,0038
497; 19,9767
498; 20,0039
499; 19,9767
500; 20,0039
501; 19,9767
502; 20,0039
503; 19,9767
504; 20,0039
505; 19,9767
506; 20,0039
507; 19,9767
508; 20,0039
509; 19,9767
510; 20,0039
511; 19,9768
512; 20,004
513; 19,9768
514; 20,004
515; 19,9768
516; 20,004
517; 19,9768
518; 20,004
519; 19,9768
520; 20,004
521; 19,9768
522; 20,004
523; 19,9768
524; 20,004
525; 19,9769
526; 20,004
527; 19,9769
528; 20,0041
529; 19,9769
530; 20,0041
531; 19,9769
532; 20,0041
533; 19,9769
534; 20,0041
535; 19,9769
536; 20,0041
537; 19,9769
538; 20,0041
539; 19,9769
540; 20,0041
541; 19,977
542; 20,0042
543; 19,977
544; 20,0042
545; 19,977
546; 20,0042
547; 19,977
548; 20,0042
549; 19,977
550; 20,0042
551; 19,977
552; 20,0042
553; 19,977
554; 20,0042
555; 19,9771
556; 20,0042
557; 19,9771
558; 20,0043
559; 19,9771
560; 20,0043
561; 19,9771
562; 20,0043
563; 19,9771
564; 20,0043
565; 19,9771
566; 20,0043
567; 19,9771
568; 20,0043
569; 19,9771
570; 20,0043
571; 19,9772
572; 20,0044
573; 19,9772
574; 20,0044
575; 19,9772
576; 20,0044
577; 19,9772
578; 20,0044
579; 19,9772
580; 20,0044
581; 19,9772
582; 20,0044
583; 19,9772
584; 20,0044
585; 19,9773
586; 20,0044
587; 19,9773
588; 20,0045
589; 19,9773
590; 20,0045
591; 19,9773
592; 20,0045
593; 19,9773
594; 20,0045
595; 19,9773
596; 20,0045
597; 19,9773
598; 20,0045
599; 19,9774
600; 20,0045
601; 19,9774
602; 20,0046
603; 19,9774
604; 20,0046
605; 19,9774
606; 20,0046
607; 19,9774
608; 20,0046
609; 19,9774
610; 20,0046
611; 19,9774
612; 20,0046
613; 19,9774
614; 20,0046
615; 19,9775
616; 20,0046
617; 19,9775
618; 20,0047
619; 19,9775
620; 20,0047
621; 19,9775
622; 20,0047
623; 19,9775
624; 20,0047
625; 19,9775
626; 20,0047
627; 19,9775
628; 20,0047
629; 19,9776
630; 20,0047
631; 19,9776
632; 20,0048
633; 19,9776
634; 20,0048
635; 19,9776
636; 20,0048
637; 19,9776
638; 20,0048
639; 19,9776
640; 20,0048
641; 19,9776
642; 20,0048
643; 19,9776
644; 20,0048
645; 19,9777
646; 20,0048
647; 19,9777
648; 20,0049
649; 19,9777
650; 20,0049
651; 19,9777
652; 20,0049
653; 19,9777
654; 20,0049
655; 19,9777
656; 20,0049
657; 19,9777
658; 20,0049
659; 19,9777
660; 20,0049
661; 19,9778
662; 20,0049
663; 19,9778
664; 20,005
665; 19,9778
666; 20,005
667; 19,9778
668; 20,005
669; 19,9778
670; 20,005
671; 19,9778
672; 20,005
673; 19,9778
674; 20,005
675; 19,9778
676; 20,005
677; 19,9778
678; 20,005
679; 19,9779
680; 20,005
681; 19,9779
682; 20,0051
683; 19,9779
684; 20,0051
685; 19,9779
686; 20,0051
687; 19,9779
688; 20,0051
689; 19,9779
690; 20,0051
691; 19,9779
692; 20,0051
693; 19,9779
694; 20,0051
695; 19,9779
696; 20,0051
697; 19,978
698; 20,0051
699; 19,978
700; 20,0052
701; 19,978
702; 20,0052
703; 19,978
704; 20,0052
705; 19,978
706; 20,0052
707; 19,978
708; 20,0052
709; 19,978
710; 20,0052
711; 19,978
712; 20,0052
713; 19,9781
714; 20,0052
715; 19,9781
716; 20,0053
717; 19,9781
718; 20,0053
719; 19,9781
720; 20,0053
721; 19,9781
722; 20,0053
723; 19,9781
724; 20,0053
725; 19,9781
726; 20,0053
727; 19,9781
728; 20,0053
729; 19,9781
730; 20,0053
731; 19,9782
732; 20,0053
733; 19,9782
734; 20,0054
735; 19,9782
736; 20,0054
737; 19,9782
738; 20,0054
739; 19,9782
740; 20,0054
741; 19,9782
742; 20,0054
743; 19,9782
744; 20,0054
745; 19,9782
746; 20,0054
747; 19,9782
748; 20,0054
749; 19,9783
750; 20,0054
751; 19,9783
752; 20,0055
753; 19,9783
754; 20,0055
755; 19,9783
756; 20,0055
757; 19,9783
758; 20,0055
759; 19,9783
760; 20,0055
761; 19,9783
762; 20,0055
763; 19,9783
764; 20,0055
765; 19,9783
766; 20,0055
767; 19,9783
768; 20,0055
769; 19,9784
770; 20,0055
771; 19,9784
772; 20,0056
773; 19,9784
774; 20,0056
775; 19,9784
776; 20,0056
777; 19,9784
778; 20,0056
779; 19,9784
780; 20,0056
781; 19,9784
782; 20,0056
783; 19,9784
784; 20,0056
785; 19,9784
786; 20,0056
787; 19,9784
788; 20,0056
789; 19,9785
790; 20,0056
791; 19,9785
792; 20,0056
793; 19,9785
794; 20,0057
795; 19,9785
796; 20,0057
797; 19,9785
798; 20,0057
799; 19,9785
800; 20,0057
801; 19,9785
802; 20,0057
803; 19,9785
804; 20,0057
805; 19,9785
806; 20,0057
807; 19,9785
808; 20,0057
809; 19,9785
810; 20,0057
811; 19,9786
812; 20,0057
813; 19,9786
814; 20,0058
815; 19,9786
816; 20,0058
817; 19,9786
818; 20,0058
819; 19,9786
820; 20,0058
821; 19,9786
822; 20,0058
823; 19,9786
824; 20,0058
825; 19,9786
826; 20,0058
827; 19,9786
828; 20,0058
829; 19,9786
830; 20,0058
831; 19,9787
832; 20,0058
833; 19,9787
834; 20,0058
835; 19,9787
836; 20,0059
837; 19,9787
838; 20,0059
839; 19,9787
840; 20,0059
841; 19,9787
842; 20,0059
843; 19,9787
844; 20,0059
845; 19,9787
846; 20,0059
847; 19,9787
848; 20,0059
849; 19,9787
850; 20,0059
851; 19,9787
852; 20,0059
853; 19,9788
854; 20,0059
855; 19,9788
856; 20,006
857; 19,9788
858; 20,006
859; 19,9788
860; 20,006
861; 19,9788
862; 20,006
863; 19,9788
864; 20,006
865; 19,9788
866; 20,006
867; 19,9788
868; 20,006
869; 19,9788
870; 20,006
871; 19,9788
872; 20,006
